iter	Logloss
0	0.6907389818
1	0.6887451048
2	0.686601783
3	0.6848213277
4	0.6825789747
5	0.6805136887
6	0.6785425412
7	0.6765782063
8	0.6744499342
9	0.6725914431
10	0.670702419
11	0.668853961
12	0.6669619641
13	0.6648891842
14	0.6624067162
15	0.6599642571
16	0.6578000638
17	0.6557945433
18	0.6534817723
19	0.6514135755
20	0.6491344961
21	0.6475094931
22	0.6451274808
23	0.6432956829
24	0.6416381031
25	0.6396764932
26	0.6379678805
27	0.6362131275
28	0.6344712566
29	0.6322949863
30	0.6306495454
31	0.6285596719
32	0.6264767349
33	0.6249405441
34	0.6232929356
35	0.6215270346
36	0.6196389394
37	0.6177254517
38	0.6161416962
39	0.6144119023
40	0.6125252316
41	0.6105019363
42	0.6088695013
43	0.6069929257
44	0.6054819418
45	0.6037587747
46	0.6022150281
47	0.6001444777
48	0.5986959844
49	0.5971356396
50	0.5956522779
51	0.5933782151
52	0.5917771802
53	0.5902496601
54	0.5881901958
55	0.586439035
56	0.584897394
57	0.5833647954
58	0.581561239
59	0.5800430089
60	0.5786371875
61	0.5766587937
62	0.5751838549
63	0.5734048241
64	0.5719000953
65	0.56990275
66	0.5685129693
67	0.5670013041
68	0.565650789
69	0.5640457904
70	0.562089383
71	0.5601104938
72	0.5586488705
73	0.5571147236
74	0.5556570021
75	0.5543431515
76	0.552871557
77	0.5514164368
78	0.5498717611
79	0.5484428386
80	0.5471388973
81	0.5458548365
82	0.5440299132
83	0.5425365802
84	0.5412324531
85	0.5397441986
86	0.5379194611
87	0.5366137856
88	0.5350489817
89	0.5336780287
90	0.5323770601
91	0.5310652533
92	0.5296301375
93	0.5281805912
94	0.5265710716
95	0.525241366
96	0.5237515013
97	0.5221720192
98	0.5209444415
99	0.5193702547
100	0.5181093259
101	0.5168672559
102	0.5154024741
103	0.5138484465
104	0.5124732511
105	0.5113530965
106	0.5098775383
107	0.5086585383
108	0.5072555968
109	0.5057526641
110	0.5044334872
111	0.5030384422
112	0.5017632378
113	0.5001780579
114	0.4986685913
115	0.4971089588
116	0.4957728742
117	0.4943264865
118	0.4929924766
119	0.4918207317
120	0.4904405196
121	0.4892730481
122	0.4881760565
123	0.4870593082
124	0.4856589988
125	0.4844993618
126	0.4835007202
127	0.4824023041
128	0.4814200747
129	0.4803085288
130	0.4790074055
131	0.4777038357
132	0.4767409914
133	0.4754249112
134	0.4740074464
135	0.4729614258
136	0.471900789
137	0.4707669781
138	0.469795649
139	0.4687285092
140	0.4677027408
141	0.46595703
142	0.4645049135
143	0.4631573712
144	0.4617607779
145	0.4606605658
146	0.4597137312
147	0.4586723556
148	0.4572160586
149	0.4558340815
150	0.4548384436
151	0.4536961479
152	0.4527390943
153	0.4513438015
154	0.45028846
155	0.4490053902
156	0.4480719022
157	0.4468483811
158	0.4457386313
159	0.4447531195
160	0.4438058513
161	0.4429287535
162	0.4416946109
163	0.4408748942
164	0.4397611187
165	0.438307361
166	0.4372559213
167	0.4363470827
168	0.4354075563
169	0.4341701002
170	0.433216453
171	0.4322602046
172	0.4312643809
173	0.4301853809
174	0.4293786082
175	0.4284918798
176	0.4276146272
177	0.426671168
178	0.4254476159
179	0.4243614007
180	0.4234413832
181	0.4225259797
182	0.4213867188
183	0.4204773538
184	0.4195869403
185	0.4187399421
186	0.4178679847
187	0.4170346427
188	0.4162619333
189	0.4151454637
190	0.4143249728
191	0.4133585364
192	0.4125560371
193	0.4116778865
194	0.410730928
195	0.4097277033
196	0.4088655004
197	0.4078554321
198	0.4066938752
199	0.4059006349
200	0.4050637008
201	0.404044745
202	0.4030753977
203	0.4022501999
204	0.401181326
205	0.4001805786
206	0.3994419324
207	0.3984052638
208	0.3974745009
209	0.3967019153
210	0.3960238398
211	0.3951209778
212	0.3941258663
213	0.3934025796
214	0.392726424
215	0.3919047564
216	0.3911601337
217	0.3904356083
218	0.3896985724
219	0.3890270928
220	0.3879841689
221	0.3871804619
222	0.3862693318
223	0.3853552909
224	0.3846329022
225	0.3839770297
226	0.3833754107
227	0.3824848115
228	0.3816263246
229	0.3808903416
230	0.379915699
231	0.3791917001
232	0.3783915233
233	0.3776896964
234	0.3770473254
235	0.3761242732
236	0.3754105241
237	0.3746869277
238	0.3737766957
239	0.3731194607
240	0.3724227433
241	0.3714995362
242	0.3708487113
243	0.3700988553
244	0.3691046418
245	0.3683431113
246	0.3674494154
247	0.3666972679
248	0.3660333131
249	0.3653844701
250	0.3646471555
251	0.3637088677
252	0.3630084962
253	0.36234129
254	0.3616740528
255	0.3610270058
256	0.3602668689
257	0.3596307221
258	0.3587274576
259	0.3580687981
260	0.3572183316
261	0.3566669094
262	0.3559861089
263	0.3553410747
264	0.3547630213
265	0.3539419111
266	0.3532516658
267	0.3523931789
268	0.3517282951
269	0.3509546258
270	0.3504045042
271	0.349792914
272	0.3492731397
273	0.3486930735
274	0.3481359225
275	0.3475588291
276	0.3468231248
277	0.3461821782
278	0.3456103181
279	0.3447163435
280	0.3440941008
281	0.3434851118
282	0.3428396131
283	0.3422754947
284	0.3415433205
285	0.3409346412
286	0.3404613168
287	0.3398429449
288	0.3391502841
289	0.3386586894
290	0.3381067099
291	0.337333536
292	0.3367018794
293	0.3360764471
294	0.3355387122
295	0.3349729525
296	0.3342898914
297	0.3336122185
298	0.333096315
299	0.3325842514
300	0.3319994163
301	0.33156031
302	0.3309307902
303	0.3304181382
304	0.3296287378
305	0.329104783
306	0.3286339979
307	0.3281424342
308	0.3275682826
309	0.3269831688
310	0.3264825628
311	0.3258193513
312	0.3252582366
313	0.3246684469
314	0.3242146005
315	0.3237419883
316	0.323244541
317	0.322806983
318	0.3222314379
319	0.3217059348
320	0.3211703985
321	0.3206138669
322	0.3201425553
323	0.3195437853
324	0.3190400827
325	0.3183205429
326	0.317650209
327	0.3171669444
328	0.3166635205
329	0.3160591455
330	0.3155525629
331	0.3150768541
332	0.3144362172
333	0.3139012693
334	0.3132792434
335	0.3127794425
336	0.3123995753
337	0.311746397
338	0.3112779653
339	0.3108579035
340	0.3103229556
341	0.3098967623
342	0.3093156432
343	0.3087524538
344	0.3082945508
345	0.3077422306
346	0.3072481896
347	0.306780594
348	0.3061702424
349	0.3057489729
350	0.3052378383
351	0.3048204706
352	0.3042333749
353	0.3036256555
354	0.3030943307
